ID,Title,Interpret,Album,track,year,genre
1,Rolling In the Deep,Adele,21,1,2011,Pop
2,Rumour Has It,Adele,21,2,2011,Pop
3,Turning Tables,Adele,21,3,2011,Pop
4,Don't You Remember,Adele,21,4,2011,Pop
5,Set Fire to the Rain,Adele,21,5,2011,Pop
6,He Won't Go,Adele,21,6,2011,Pop
7,Take It All,Adele,21,7,2011,Pop
8,I'll Be Waiting,Adele,21,8,2011,Pop
9,One and Only,Adele,21,9,2011,Pop
10,Lovesong,Adele,21,10,2011,Pop
11,Someone Like You,Adele,21,11,2011,Pop
12,I Found a Boy (Bonus Track),Adele,21,12,2011,Pop
13,Adele 21 - A Track By Track Interview,Adele,21,13,2011,Pop
14,Hello,Adele,25,1,2015,Pop
15,Send My Love (To Your New Lover),Adele,25,2,2015,Pop
16,I Miss You,Adele,25,3,2015,Pop
17,When We Were Young,Adele,25,4,2015,Pop
18,Remedy,Adele,25,5,2015,Pop
19,Water Under the Bridge,Adele,25,6,2015,Pop
20,River Lea,Adele,25,7,2015,Pop
21,Love in the Dark,Adele,25,8,2015,Pop
22,Million Years Ago,Adele,25,9,2015,Pop
23,All I Ask,Adele,25,10,2015,Pop
24,Sweetest Devotion,Adele,25,11,2015,Pop
25,Qirayis,Ahmet Aslan,Va u Waxt (Wind Und Zeit) Rüzgar ve Zaman,1,2003,Weltmusik
26,Cirtike,Ahmet Aslan,Va u Waxt (Wind Und Zeit) Rüzgar ve Zaman,2,2003,Weltmusik
27,Meso,Ahmet Aslan,Va u Waxt (Wind Und Zeit) Rüzgar ve Zaman,3,2003,Weltmusik
28,Susarak Özlüyorum (İşte Buna Bıçak Çekiyorum),Ahmet Aslan,Va u Waxt (Wind Und Zeit) Rüzgar ve Zaman,4,2003,Weltmusik
29,Gulbang,Ahmet Aslan,Va u Waxt (Wind Und Zeit) Rüzgar ve Zaman,5,2003,Weltmusik
30,Tanımadığım Ten,Ahmet Aslan,Va u Waxt (Wind Und Zeit) Rüzgar ve Zaman,6,2003,Weltmusik
